Name,contents,Course,Title,"Lesson 1-result","Lesson 1-date and time","Lesson 2-result","Lesson 2-date and time","Lesson 3-result","Lesson 3-date and time","Kaizen Test-result","Kaizen Test-date and time"
ts3,Video,"Lesson 1",V-2.1.2,0%,"0000-00-00 00:00:00",-,-,-,-,-,-
ts3,Video,"Lesson 1",V-2.1.1,0%,"0000-00-00 00:00:00",-,-,-,-,-,-
ts3,Video,"Lesson 2",V-2.2.3,-,-,0%,"0000-00-00 00:00:00",-,-,-,-
ts3,Video,"Lesson 2",V-2.2.2,-,-,0%,"0000-00-00 00:00:00",-,-,-,-
ts3,Video,"Lesson 2",V-2.2.1,-,-,0%,"0000-00-00 00:00:00",-,-,-,-
ts3,Video,"Lesson 3",V-2.3.3,-,-,-,-,0%,"0000-00-00 00:00:00",-,-
ts3,Video,"Lesson 3",V-2.3.2,-,-,-,-,0%,"0000-00-00 00:00:00",-,-
ts3,Video,"Lesson 3",V-2.3.1,-,-,-,-,0%,"0000-00-00 00:00:00",-,-
ts3,Video,"Kaizen Test",-,-,-,-,-,-,-,-,-
ts3,quiz,"Lesson 1",-,-,-,-,-,-,-,-,-
ts3,quiz,"Lesson 2",-,-,-,-,-,-,-,-,-
ts3,quiz,"Lesson 3",-,-,-,-,-,-,-,-,-
ts3,quiz,"Kaizen Test","Kaizen Quiz",-,-,-,-,-,-,0点,"0000-00-00 00:00:00"
ts3,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-
ts3,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-
ts3,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-
ts3,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-
ts3,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-
ts3,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-
ts3,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-
ts3,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-
ts3,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-
ts3,questionnaire,"Kaizen Test",-,-,-,-,-,-,-,-,-
ts3,report,"Lesson 1",-,-,-,-,-,-,-,-,-
ts3,report,"Lesson 2",-,-,-,-,-,-,-,-,-
ts3,report,"Lesson 3",-,-,-,-,-,-,-,-,-
ts3,report,"Kaizen Test",-,-,-,-,-,-,-,-,-
説明用,Video,"Lesson 1",V-2.1.3,0%,"0000-00-00 00:00:00",-,-,-,-,-,-
説明用,Video,"Lesson 1",V-2.1.2,0%,"2020-01-06 14:29:04",-,-,-,-,-,-
説明用,Video,"Lesson 1",V-2.1.1,0%,"2020-01-06 14:29:28",-,-,-,-,-,-
説明用,Video,"Lesson 2",V-2.2.3,-,-,0%,"0000-00-00 00:00:00",-,-,-,-
説明用,Video,"Lesson 2",V-2.2.2,-,-,0%,"2020-01-06 14:26:35",-,-,-,-
説明用,Video,"Lesson 2",V-2.2.1,-,-,0%,"2020-01-06 14:26:28",-,-,-,-
説明用,Video,"Lesson 3",V-2.3.3,-,-,-,-,0%,"0000-00-00 00:00:00",-,-
説明用,Video,"Lesson 3",V-2.3.2,-,-,-,-,0%,"2020-01-06 14:27:06",-,-
説明用,Video,"Lesson 3",V-2.3.1,-,-,-,-,0%,"2020-01-06 14:26:46",-,-
説明用,Video,"Kaizen Test",-,-,-,-,-,-,-,-,-
説明用,quiz,"Lesson 1",-,-,-,-,-,-,-,-,-
説明用,quiz,"Lesson 2",-,-,-,-,-,-,-,-,-
説明用,quiz,"Lesson 3",-,-,-,-,-,-,-,-,-
説明用,quiz,"Kaizen Test","Kaizen Quiz",-,-,-,-,-,-,20point,"2020-01-06 14:28:02"
説明用,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-
説明用,questionnaire,"Lesson 1",Questionnaire,×,"0000-00-00 00:00:00",-,-,-,-,-,-
説明用,questionnaire,"Lesson 1",Questionnaire,○,"2020-01-06 08:29:48",-,-,-,-,-,-
説明用,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-
説明用,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-
説明用,questionnaire,"Lesson 2",Questionnaire,-,-,×,"0000-00-00 00:00:00",-,-,-,-
説明用,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-
説明用,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-
説明用,questionnaire,"Lesson 3",Questionnaire,-,-,-,-,×,"0000-00-00 00:00:00",-,-
説明用,questionnaire,"Kaizen Test",-,-,-,-,-,-,-,-,-
説明用,report,"Lesson 1",-,-,-,-,-,-,-,-,-
説明用,report,"Lesson 2",-,-,-,-,-,-,-,-,-
説明用,report,"Lesson 3",-,-,-,-,-,-,-,-,-
説明用,report,"Kaizen Test",-,-,-,-,-,-,-,-,-
